student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,screentime_study_ratio,sleep_study_ratio,exercise_study_ratio
S1001,20,Female,6.9,2.8,2.3,No,97.3,4.6,Good,6,High School,Average,8,No,100.0,0.7391304347826086,0.6666666666666666,0.8695652173913043
S1002,21,Male,1.4,3.1,1.3,No,94.8,8.0,Poor,1,High School,Poor,1,No,34.3,3.1428571428571432,5.714285714285714,0.7142857142857143
S1003,23,Female,1.0,3.9,1.0,No,71.0,9.2,Poor,4,Master,Good,1,Yes,26.8,4.9,9.2,4.0
S1004,19,Female,5.0,4.4,0.5,No,90.9,4.9,Fair,3,Master,Good,1,No,66.4,0.9800000000000001,0.9800000000000001,0.6
S1005,24,Male,7.2,1.3,0.0,No,82.9,7.4,Fair,1,Master,Average,4,No,100.0,0.18055555555555555,1.027777777777778,0.1388888888888889
S1006,21,Female,5.6,1.5,1.4,Yes,85.8,6.5,Good,2,Master,Poor,4,No,89.8,0.5178571428571429,1.1607142857142858,0.35714285714285715
S1007,21,Female,4.3,1.0,2.0,Yes,77.7,4.6,Fair,0,Bachelor,Average,8,No,72.6,0.6976744186046512,1.069767441860465,0.0
S1008,23,Female,4.4,2.2,1.7,No,100.0,7.1,Good,3,Bachelor,Good,1,No,78.9,0.8863636363636364,1.6136363636363635,0.6818181818181818
S1009,18,Female,4.8,3.1,1.3,No,95.4,7.5,Good,5,Bachelor,Good,10,Yes,100.0,0.9166666666666667,1.5625,1.0416666666666667
S1010,19,Female,4.6,3.7,0.8,No,77.6,5.8,Fair,1,,Good,3,No,63.3,0.9782608695652175,1.2608695652173914,0.2173913043478261
S1011,23,Male,3.9,2.4,2.5,No,71.7,7.9,Fair,2,Bachelor,Average,1,No,74.4,1.2564102564102566,2.025641025641026,0.5128205128205129
S1012,19,Female,3.7,2.1,0.4,Yes,81.1,4.5,Fair,1,Bachelor,Good,9,No,76.9,0.6756756756756757,1.2162162162162162,0.27027027027027023
S1013,19,Female,3.4,2.7,2.7,No,89.3,4.7,Fair,4,Bachelor,Good,10,No,75.8,1.5882352941176472,1.3823529411764708,1.1764705882352942
S1014,24,Male,2.4,1.5,0.7,No,87.4,6.7,Poor,6,Bachelor,Average,9,No,78.9,0.9166666666666667,2.791666666666667,2.5
S1015,21,Male,3.1,5.0,1.0,No,97.5,6.5,Good,6,High School,Average,7,No,74.0,1.9354838709677418,2.096774193548387,1.9354838709677418
S1016,20,Male,1.0,0.6,0.2,No,92.9,5.6,Poor,3,High School,Poor,8,Yes,55.2,0.8,5.6,3.0
S1017,24,Female,3.4,2.7,1.2,No,94.7,7.5,Poor,0,High School,Average,1,Yes,70.8,1.147058823529412,2.2058823529411766,0.0
S1018,24,Other,2.0,4.9,2.9,Yes,88.3,7.1,Good,2,High School,Good,5,No,43.9,3.9000000000000004,3.55,1.0
S1019,19,Male,1.8,2.5,2.4,No,71.1,7.5,Fair,1,High School,Average,2,No,45.3,2.7222222222222223,4.166666666666667,0.5555555555555556
S1020,22,Female,3.8,2.3,2.9,No,83.0,6.4,Good,3,Master,Good,1,No,58.5,1.3684210526315788,1.6842105263157896,0.7894736842105263
S1021,21,Male,5.6,2.1,2.4,No,95.6,7.2,Fair,1,High School,Good,3,No,82.5,0.8035714285714286,1.2857142857142858,0.17857142857142858
S1022,18,Other,4.9,2.3,0.6,No,84.5,6.0,Fair,3,High School,Average,7,No,98.7,0.5918367346938775,1.2244897959183672,0.6122448979591836
S1023,24,Female,1.1,4.1,1.4,Yes,90.0,9.0,Fair,6,Bachelor,Good,1,No,43.7,5.0,8.181818181818182,5.454545454545454
S1024,20,Female,2.0,0.0,0.9,Yes,81.8,5.5,Fair,4,Bachelor,Average,2,No,54.9,0.45,2.75,2.0
S1025,22,Male,4.9,4.3,3.3,No,74.7,9.0,Fair,1,High School,Average,2,Yes,69.9,1.551020408163265,1.8367346938775508,0.2040816326530612
S1026,22,Male,2.0,0.8,0.5,No,83.8,6.5,Good,4,Bachelor,Poor,4,No,73.5,0.65,3.25,2.0
S1027,18,Male,3.2,2.2,2.8,Yes,88.1,4.8,Fair,5,Bachelor,Average,3,No,71.1,1.5625,1.4999999999999998,1.5625
S1028,24,Male,4.3,2.0,2.8,Yes,78.4,8.1,Good,5,High School,Poor,3,Yes,82.8,1.1162790697674418,1.8837209302325582,1.1627906976744187
S1029,20,Female,2.0,3.2,3.8,Yes,82.6,6.7,Poor,6,High School,Poor,10,Yes,75.7,3.5,3.35,3.0
S1030,21,Female,3.7,0.6,1.3,No,75.6,7.5,Fair,2,Master,Average,5,No,70.6,0.5135135135135135,2.0270270270270268,0.5405405405405405
S1031,17,Other,1.5,3.1,2.6,Yes,96.2,8.0,Fair,4,Bachelor,Average,3,Yes,51.3,3.8000000000000003,5.333333333333333,2.6666666666666665
S1032,20,Other,2.6,4.9,4.3,No,82.1,6.9,Good,3,Bachelor,Good,7,No,52.1,3.538461538461538,2.6538461538461537,1.1538461538461537
S1033,18,Female,4.0,0.9,1.1,No,99.5,5.8,Poor,2,,Average,5,No,70.7,0.5,1.45,0.5
S1034,22,Female,1.1,2.7,0.1,No,100.0,7.7,Fair,1,High School,Good,4,No,51.2,2.5454545454545454,7.0,0.9090909090909091
S1035,21,Female,4.2,1.7,0.0,Yes,84.2,6.5,Good,1,Bachelor,Average,3,No,72.6,0.4047619047619047,1.5476190476190474,0.23809523809523808
S1036,20,Female,3.5,3.0,2.6,No,74.9,7.3,Fair,3,High School,Good,4,No,70.7,1.5999999999999999,2.085714285714286,0.8571428571428571
S1037,17,Male,4.3,2.5,0.0,Yes,64.1,3.9,Good,0,High School,Average,2,No,59.4,0.5813953488372093,0.9069767441860466,0.0
S1038,17,Male,3.8,1.7,1.4,No,70.3,7.0,Poor,0,Bachelor,Good,1,No,58.1,0.8157894736842105,1.842105263157895,0.0
